ID,Organism,type
CG10_big_fil_rev_8_21_14_0.10_scaffold_22081_3,Pacearchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_28047_3,Pacearchaeota,IIIb
CG23_combo_of_CG0609_8_20_14_all_150_scaffold_90018_1,Pacearchaeota,IIIb
CG_201509_scaffold_50799_3,Pacearchaeota,IIIb
GWB1_scaffold_16004_5,Pacearchaeota,IIIb
RBG_16_scaffold_11079_2,Pacearchaeota,IIIb
RifSed_csp1_16ft_2_scaffold_53506_3,Pacearchaeota,IIIb
RifSed_csp1_16ft_3_scaffold_247731_2,Pacearchaeota,IIIb
RifSed_csp1_16ft_4_scaffold_172579_3,Pacearchaeota,IIIb
RifSed_csp1_19ft_4_scaffold_33260_6,Pacearchaeota,IIIb
RifSed_csp2_10ft_3_scaffold_492694_2,Pacearchaeota,IIIb
RifSed_csp2_13ft_1_scaffold_36185_8,Pacearchaeota,IIIb
RifSed_csp2_16ft_3_scaffold_46608_6,Pacearchaeota,IIIb
RifSed_csp2_19ft_2_scaffold_12174_2,Pacearchaeota,IIIb
gwc1_scaffold_4706_5,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_156759_4,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_173637_10,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_21619_3,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_257738_1,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_41251_2,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_66616_16,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_82070_3,Pacearchaeota,IIIb
rifcsphigho2_01_sub10_scaffold_4260_8,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_15332_15,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_162351_1,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_221194_1,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_369452_2,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_8518_20,Pacearchaeota,IIIb
rifcsphigho2_12_scaffold_356730_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_0_375,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_143159_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_159277_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_178776_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_202_72,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_24480_6,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_256272_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_269943_3,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_309117_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_349272_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_401896_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_474979_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_51839_11,Pacearchaeota,IIIb
rifoxyc1_full_scaffold_36956_1,Pacearchaeota,IIIb
rifoxyc1_full_scaffold_38709_3,Pacearchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_48964_c_1,Woesearchaeota,IIIb
rifcsphigho2_01_scaffold_7865_10,Woesearchaeota,IIIb
rifcsphigho2_02_scaffold_55123_15,Woesearchaeota,IIIb
rifcsplowo2_01_scaffold_53096_8,Woesearchaeota,IIIb
rifcsplowo2_02_scaffold_22033_7,Woesearchaeota,IIIb
NP_070466_Archaeoglobus_fulgidus_DSM_4304_II_REF,reference,IIIb
WP004043974_Haloferax_volcanii_DS_REF,reference,IIIb
YP002428833_Desulfurococcus_kamchatkensis_1221_REF,reference,IIIb
YP002960117_Thermococcus_gammatolerans_EJ_REF,reference,IIIb
LSDeep1_scaffold_252_71,unknown,IIIb
LSDeep1_scaffold_26_533,unknown,IIIb
gwa2_scaffold_40962_2,Falkowbacteria,IIIc
RBG_13_scaffold_5391_5,Gottesmanbacteria,IIIc
gwc2_scaffold_9210_4,Gottesmanbacteria,IIIc
RifSed_csp2_16ft_2_scaffold_214444_1,Kuenenbacteria,IIIc
CG03_land_8_20_14_0.80_scaffold_45401_2,Parcubacteria,IIIc
gwa2_scaffold_5659_22,Parcubacteria,IIIc
RifSed_csp1_13ft_4_scaffold_30323_4,Gottesmanbacteria,IIIlike
RifSed_csp1_19ft_4_scaffold_94308_4,Gottesmanbacteria,IIIlike
RifSed_csp2_13ft_2_scaffold_388165_1,Gottesmanbacteria,IIIlike
rifcsphigho2_01_scaffold_9117_11,Gottesmanbacteria,IIIlike
CG10_big_fil_rev_8_21_14_0.10_scaffold_76659_1,Pacearchaeota,IIIlike
CG_201510_scaffold_33734_2,Pacearchaeota,IIIlike
rifcsphigho2_01_scaffold_1015_10,Pacearchaeota,IIIlike
rifcsphigho2_01_scaffold_42348_2,Pacearchaeota,IIIlike
rifcsphigho2_01_scaffold_44408_3,Pacearchaeota,IIIlike
rifcsphigho2_02_scaffold_440038_1,Pacearchaeota,IIIlike
rifcsplowo2_01_scaffold_11977_10,Pacearchaeota,IIIlike
rifcsplowo2_01_scaffold_36463_6,Pacearchaeota,IIIlike
rifcsplowo2_01_scaffold_369553_1,Pacearchaeota,IIIlike
rifoxya2_sub10_scaffold_3412_1,Pacearchaeota,IIIlike
rifoxyc1_sub10_scaffold_612_2,Pacearchaeota,IIIlike
rifcsplowo2_02_scaffold_12225_10,Parcubacteria,IIIlike
rifoxyb2_full_scaffold_37565_5,Roizmanbacteria,IIIlike
rifcsphigho2_02_sub10_scaffold_110_79,Woesearchaeota,IIIlike
rifcsplowo2_02_scaffold_9609_9,Parcubacteria,IV
BAD64310_Bacillus_clausii_KSM_K16_IV_Ykr_REF,reference,IV
YP_001002057_Halorhodospira_halophila_SL1_IV_DeepYk_REF,reference,IV
YP_569369_Rhodopseudomonas_palustris_BisB5_IV_DeepYk_REF,reference,IV
YP_742007_Alkalilimnicola_ehrlichei_MLHE_1_IV_DeepYk_REF,reference,IV
imgVR_3300000116_DelMOSpr2010_c10000825_24_PHAGE,putative_phage,IVlike
imgVR_3300000117_DelMOWin2010_c10001624_5_PHAGE,putative_phage,IVlike
imgVR_3300001450_JGI24006J15134_10000144_30_PHAGE,putative_phage,IVlike
imgVR_3300001450_JGI24006J15134_10002570_9_PHAGE,putative_phage,IVlike
imgVR_3300002835_B570J40625_100002082_7_PHAGE,putative_phage,IVlike
imgVR_3300003410_JGI26086J50260_1002745_8_PHAGE,putative_phage,IVlike
imgVR_3300005528_Ga0068872_10000195_49_PHAGE,putative_phage,IVlike
imgVR_3300005605_Ga0066850_10002422_3_PHAGE,putative_phage,IVlike
imgVR_3300005683_Ga0074432_100043_78_PHAGE,putative_phage,IVlike
imgVR_3300005805_Ga0079957_1000004_32_PHAGE,putative_phage,IVlike
imgVR_3300005805_Ga0079957_1000649_25_PHAGE,putative_phage,IVlike
imgVR_3300006193_Ga0075445_10001210_10_PHAGE,putative_phage,IVlike
imgVR_3300006305_Ga0068468_1000608_36_PHAGE,putative_phage,IVlike
imgVR_3300006749_Ga0098042_1000004_15_PHAGE,putative_phage,IVlike
imgVR_3300006754_Ga0098044_1000148_36_PHAGE,putative_phage,IVlike
imgVR_3300006790_Ga0098074_1002816_5_PHAGE,putative_phage,IVlike
imgVR_3300006802_Ga0070749_10000052_38_PHAGE,putative_phage,IVlike
imgVR_3300009058_Ga0102854_1000016_27_PHAGE,putative_phage,IVlike
imgVR_3300009154_Ga0114963_10001892_12_PHAGE,putative_phage,IVlike
imgVR_3300009158_Ga0114977_10008854_1_PHAGE,putative_phage,IVlike
imgVR_3300009181_Ga0114969_10000030_77_PHAGE,putative_phage,IVlike
imgVR_3300013132_Ga0172372_10011093_16_PHAGE,putative_phage,IVlike
rifcsphigho2_12_scaffold_162_94_PHAGE,putative_phage,IVlike
UBA93contig_1572_78,Micrarchaeota,unknown
UBA96contig_21807_17,Micrarchaeota,unknown
LSDeep1_scaffold_289_96,Peregrinibacteria,unknown
Allochromatium_vinosum_YP_00344469_REF,reference,I
Nitrobacter_hamburgensis_YP_57154_REF,reference,I
CG_4_10_14_0.2_scaffold_11904_c_5,Dojkabacteria,II/III
UBA2022contig_15642_11,Dojkabacteria,II/III
CG09_land_8_20_14_0.10_scaffold_8073_10,Pacearchaeota,II/III
Ig5771_scaffold_652_7,Pacearchaeota,II/III
rifoxyc1_full_scaffold_4459_6,Pacearchaeota,II/III
UBA4787contig_1245_80,Patescibacteria,II/III
07M_4_2014_scaffold_14364_2,Peregrinibacteria,II/III
scaffold_6121_5_REF,reference,II/III
CG_201501t_scaffold_70_76,unknown,II/III
rifcsphigho2_02_scaffold_49666_4,Aenigmarchaeota,IIIb
rifcsphigho2_02_scaffold_69512_7,Aenigmarchaeota,IIIb
rifcsplowo2_01_scaffold_211_122,Aenigmarchaeota,IIIb
rifcsphigho2_02_scaffold_363598_1,Amesbacteria,IIIb
rifcsplowo2_01_scaffold_141933_1,Amesbacteria,IIIb
rifcsplowo2_02_scaffold_55575_5,Amesbacteria,IIIb
rifcsphigho2_01_scaffold_10007_6,Diapherotrites,IIIb
rifcsplowo2_01_scaffold_43_141,Diapherotrites,IIIb
RBG_16_scaffold_853_33,Levybacteria,IIIb
07M_4_2014_scaffold_1143_16,Micrarchaeota,IIIb
CG01_land_8_20_14_3.00_scaffold_28014_2,Micrarchaeota,IIIb
CG08_land_8_20_14_0.20_scaffold_203273_1,Micrarchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_160807_1,Micrarchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_3334_6,Micrarchaeota,IIIb
CG_4_9_14_0.2_um_filter_scaffold_8702_1,Micrarchaeota,IIIb
RBG_16_scaffold_1633_8,Micrarchaeota,IIIb
rbg_19ft_combo_scaffold_2906_2,Micrarchaeota,IIIb
rifcsphigho2_01_scaffold_440213_2,Micrarchaeota,IIIb
rifcsphigho2_02_scaffold_173369_1,Micrarchaeota,IIIb
rifcsphigho2_02_scaffold_2812_33,Micrarchaeota,IIIb
rifcsplowo2_01_scaffold_45645_1,Micrarchaeota,IIIb
AR10.1_scaffold_8297_1,Pacearchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_2738_15,Pacearchaeota,IIIb
CG23_combo_of_CG0609_8_20_14_all_150_scaffold_29588_1,Pacearchaeota,IIIb
CG_201501t_scaffold_89495_1,Pacearchaeota,IIIb
CG_201518_scaffold_146281_1,Pacearchaeota,IIIb
GWB1_scaffold_22216_8,Pacearchaeota,IIIb
RifSed_csp1_16ft_1_scaffold_25993_3,Pacearchaeota,IIIb
RifSed_csp1_19ft_1_scaffold_47266_3,Pacearchaeota,IIIb
RifSed_csp2_10ft_1_scaffold_178317_3,Pacearchaeota,IIIb
RifSed_csp2_13ft_2_scaffold_695229_1,Pacearchaeota,IIIb
RifSed_csp2_19ft_2_scaffold_163929_2,Pacearchaeota,IIIb
gwa1_scaffold_1688_10,Pacearchaeota,IIIb
gwc1_scaffold_4584_2,Pacearchaeota,IIIb
mol3215fa021564_1,Pacearchaeota,IIIb
rifcsp2_19_4_full_scaffold_35462_2,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_10367_34,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_11863_1,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_136210_1,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_15374_6,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_319644_1,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_437666_1,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_52038_9,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_8061_16,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_97976_8,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_110943_6,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_16976_10,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_248456_1,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_27808_2,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_50705_4,Pacearchaeota,IIIb
rifcsphigho2_12_scaffold_331687_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_102233_3,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_108589_3,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_112877_5,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_13705_14,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_1373_9,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_183449_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_193789_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_22357_10,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_223977_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_331279_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_39879_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_412156_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_42386_8,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_45660_7,Pacearchaeota,IIIb
rifcsplowo2_02_scaffold_407950_1,Pacearchaeota,IIIb
rifcsplowo2_12_scaffold_1860_42,Pacearchaeota,IIIb
rifoxya1_full_scaffold_42954_2,Pacearchaeota,IIIb
rifoxyc1_full_scaffold_14429_1,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_6465_9,Woesearchaeota,IIIb
WP004216495_Natrialba_magadii_ATCC_4309_REF,reference,IIIb
WP006108853_Natrialba_asiatica_DSM_1227_REF,reference,IIIb
WP006826142_Natrialba_taiwanensis_DSM_1228_REF,reference,IIIb
YP001041057_Staphylothermus_marinus_F_REF,reference,IIIb
YP003178578_Halomicrobium_mukohataei_DSM_1228_REF,reference,IIIb
YP004424539_Pyrococcus_sp_NA_REF,reference,IIIb
RBG_13_scaffold_14099_11,Dojkabacteria,IIIc
gwa2_scaffold_47144_2,Gottesmanbacteria,IIIc
mol321605030446_1_Gottesmanbacteria,Gottesmanbacteria,IIIc
rifoxyc1_full_scaffold_26262_2,Gottesmanbacteria,IIIc
CG_201511_scaffold_25419_1,Kuenenbacteria,IIIc
CG_201513_scaffold_124523_1,Kuenenbacteria,IIIc
CG_4_9_14_0.2_um_filter_scaffold_23606_2,Kuenenbacteria,IIIc
cg1_0.2_scaffold_10592_2,Kuenenbacteria,IIIc
cgr2_combo_scaffold_6030_4,Kuenenbacteria,IIIc
07M_4_2014_scaffold_5663_3,Parcubacteria,IIIc
CG08_land_8_20_14_0.20_scaffold_311_25,Parcubacteria,IIIc
CG22_combo_CG1013_8_21_14_all_scaffold_27032_2_Parcubacteria,Parcubacteria,IIIc
Ig5770_scaffold_3414_3,Parcubacteria,IIIc
Ig5185_scaffold_2729_7,Dojkabacteria,IIIlike
UBA2259contig_3196_71,Dojkabacteria,IIIlike
UBA4813contig_29569_18,Dojkabacteria,IIIlike
UBA5749contig_21275_3,Dojkabacteria,IIIlike
gwd1_scaffold_9197_5,Dojkabacteria,IIIlike
gwf1_scaffold_4493_1,Dojkabacteria,IIIlike
MW5_scaffold_55805_2,Gottesmanbacteria,IIIlike
RifSed_csp1_13ft_1_scaffold_2112_6,Gottesmanbacteria,IIIlike
rifcsphigho2_01_scaffold_206378_7,Gottesmanbacteria,IIIlike
mol321605051349_9,Microgenomates,IIIlike
CG11_big_fil_rev_8_21_14_0.20_scaffold_5804_7,Pacearchaeota,IIIlike
rifcsphigho2_01_sub10_scaffold_15638_2,Pacearchaeota,IIIlike
rifcsphigho2_02_scaffold_438502_1,Pacearchaeota,IIIlike
rifcsphigho2_02_scaffold_900_36,Pacearchaeota,IIIlike
rifcsplowo2_01_scaffold_118_122,Pacearchaeota,IIIlike
rifcsplowo2_01_scaffold_142244_2,Pacearchaeota,IIIlike
rifcsplowo2_01_scaffold_156696_4,Pacearchaeota,IIIlike
YP_782588_Rhodopseudomonas_palustris_BisA53_IV_DeepYk_REF,reference,IV
CG_201509_scaffold_5489_2,unknown,IV
GS605_3p0_scaffold_7_49_PHAGE,putative_phage,IVlike
PH2015_07_scaffold_0_448_PHAGE,putative_phage,IVlike
imgVR_3300000116_DelMOSpr2010_c10001115_19_PHAGE,putative_phage,IVlike
imgVR_3300000439_TBL_comb48_EPIDRAFT_1000912_4_PHAGE,putative_phage,IVlike
imgVR_3300000553_TBL_comb47_HYPODRAFT_10006500_13_PHAGE,putative_phage,IVlike
imgVR_3300001472_JGI24004J15324_10000511_11_PHAGE,putative_phage,IVlike
imgVR_3300001589_JGI24005J15628_10000085_3_PHAGE,putative_phage,IVlike
imgVR_3300002835_B570J40625_100027887_6_PHAGE,putative_phage,IVlike
imgVR_3300004686_Ga0065173_1000025_12_PHAGE,putative_phage,IVlike
imgVR_3300004691_Ga0065176_1000054_16_PHAGE,putative_phage,IVlike
imgVR_3300004770_Ga0007804_1000749_8_PHAGE,putative_phage,IVlike
imgVR_3300006030_Ga0075470_10000039_31_PHAGE,putative_phage,IVlike
imgVR_3300006121_Ga0007824_1000696_6_PHAGE,putative_phage,IVlike
imgVR_3300006193_Ga0075445_10002989_10_PHAGE,putative_phage,IVlike
imgVR_3300006641_Ga0075471_10002405_15_PHAGE,putative_phage,IVlike
imgVR_3300006802_Ga0070749_10000694_17_PHAGE,putative_phage,IVlike
imgVR_3300009068_Ga0114973_10000306_11_PHAGE,putative_phage,IVlike
imgVR_3300009155_Ga0114968_10000900_19_PHAGE,putative_phage,IVlike
imgVR_3300009164_Ga0114975_10000049_44_PHAGE,putative_phage,IVlike
imgVR_3300009164_Ga0114975_10000143_17_PHAGE,putative_phage,IVlike
imgVR_3300009183_Ga0114974_10000026_102_PHAGE,putative_phage,IVlike
imgVR_3300013093_Ga0164296_1000036_79_PHAGE,putative_phage,IVlike
imgVR_3300013093_Ga0164296_1001304_19_PHAGE,putative_phage,IVlike
imgVR_3300013131_Ga0172373_10003100_23_PHAGE,putative_phage,IVlike
imgVR_3300017818_Ga0181565_10006269_7_PHAGE,putative_phage,IVlike
imgVR_3300017967_Ga0181590_10000756_38_PHAGE,putative_phage,IVlike
imgVR_3300018423_Ga0181593_10013560_4_PHAGE,putative_phage,IVlike
imgVR_3300018790_Ga0187842_1000009_46_PHAGE,putative_phage,IVlike
RBG_13_scaffold_9498_7,unknown,IVlike
Prochlorococcus_marinus_YP_00109080_REF,reference,I
CG_201510_scaffold_113557_2,Dojkabacteria,II/III
CG_4_10_14_0.8_um_filter_scaffold_123569_1,Dojkabacteria,II/III
CG_4_9_14_3_um_filter_150_scaffold_194919_1,Dojkabacteria,II/III
gwf2_scaffold_5170_19,Dojkabacteria,II/III
rifcsplowo2_02_scaffold_81990_4,Gottesmanbacteria,II/III
rifoxyc1_full_scaffold_2432_3,Pacearchaeota,II/III
rifoxyd1_full_scaffold_48_74,Pacearchaeota,II/III
rifcsphigho2_02_scaffold_6968_22,Woesearchaeota,II/III
rifcsplowo2_01_scaffold_240_75,Woesearchaeota,II/III
rifoxyb1_full_scaffold_364_31,Woesearchaeota,II/III
07M_4_2014_scaffold_3235_2,unknown,II/III
CG_201503_scaffold_6_523,unknown,II/III
RifSed_csp2_13ft_1_scaffold_647396_2,Aenigmarchaeota,IIIb
rifcsphigho2_12_scaffold_32189_9,Aenigmarchaeota,IIIb
rifcsplowo2_01_scaffold_126992_2,Aenigmarchaeota,IIIb
rifcsplowo2_12_scaffold_67979_10,Aenigmarchaeota,IIIb
rifcsplowo2_01_scaffold_118545_1,Amesbacteria,IIIb
CG08_land_8_20_14_0.20_scaffold_1314_c_7,Diapherotrites,IIIb
CG09_land_8_20_14_0.10_scaffold_6172_c_6,Diapherotrites,IIIb
CG02_land_8_20_14_3.00_150_scaffold_91997_1,Micrarchaeota,IIIb
CG08_land_8_20_14_0.20_scaffold_9016_6,Micrarchaeota,IIIb
CG09_land_8_20_14_0.10_scaffold_28336_1,Micrarchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_133078_1,Micrarchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_13451_3,Micrarchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_34346_3,Micrarchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_87261_1,Micrarchaeota,IIIb
CG_201501_scaffold_106789_1,Micrarchaeota,IIIb
cg1_0.2_scaffold_83715_1,Micrarchaeota,IIIb
mol3215ef016606_7,Micrarchaeota,IIIb
rifcsp2_19_4_full_scaffold_215841_1,Micrarchaeota,IIIb
rifcsphigho2_02_scaffold_38081_1,Micrarchaeota,IIIb
rifcsplowo2_01_scaffold_135759_3,Micrarchaeota,IIIb
rifcsplowo2_01_scaffold_4893_79,Micrarchaeota,IIIb
rifcsplowo2_01_scaffold_93746_1,Micrarchaeota,IIIb
rifcsplowo2_12_scaffold_17178_2,Micrarchaeota,IIIb
ncbi_ASMP01000003.1_19,Nanoarchaeota,IIIb
07M_4_2014_scaffold_1566_11,Pacearchaeota,IIIb
19ft_2_nophage_noknown_scaffold_9330_1,Pacearchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_107_143,Pacearchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_139632_1,Pacearchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_92999_2,Pacearchaeota,IIIb
CG11_big_fil_rev_8_21_14_0.20_scaffold_64508_2,Pacearchaeota,IIIb
CG23_combo_of_CG0609_8_20_14_all_150_scaffold_26480_3,Pacearchaeota,IIIb
GWB1_scaffold_10454_2,Pacearchaeota,IIIb
GWB1_scaffold_2416_28,Pacearchaeota,IIIb
GWB1_scaffold_7630_9,Pacearchaeota,IIIb
RBG_13_scaffold_259_7,Pacearchaeota,IIIb
RifSed_csp2_10ft_2_scaffold_141884_1,Pacearchaeota,IIIb
RifSed_csp2_10ft_3_scaffold_196980_2,Pacearchaeota,IIIb
RifSed_csp2_13ft_2_scaffold_701908_1,Pacearchaeota,IIIb
RifSed_csp2_16ft_3_scaffold_83149_1,Pacearchaeota,IIIb
RifSed_csp2_19ft_3_scaffold_147407_1,Pacearchaeota,IIIb
cg1_0.2_scaffold_82321_1,Pacearchaeota,IIIb
gwa1_scaffold_12779_4,Pacearchaeota,IIIb
gwa1_scaffold_15687_9,Pacearchaeota,IIIb
gwc1_scaffold_2334_8,Pacearchaeota,IIIb
mol3215fa031464_9,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_293991_4,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_464599_1,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_526185_2,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_54027_7,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_65352_11,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_6966_11,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_7201_13,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_85698_3,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_33630_15,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_157232_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_159415_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_160892_4,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_224073_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_246509_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_277111_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_283644_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_37901_5,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_40614_6,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_41118_9,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_94273_4,Pacearchaeota,IIIb
rifcsplowo2_01_sub10_scaffold_13483_3,Pacearchaeota,IIIb
rifcsplowo2_01_sub10_scaffold_17928_1,Pacearchaeota,IIIb
rifcsplowo2_01_sub10_scaffold_35299_1,Pacearchaeota,IIIb
rifcsplowo2_02_scaffold_83872_4,Pacearchaeota,IIIb
rifoxyb1_full_scaffold_13298_4,Pacearchaeota,IIIb
rifoxyd1_full_scaffold_41945_2,Pacearchaeota,IIIb
rifoxyd1_full_scaffold_4719_16,Pacearchaeota,IIIb
UBA153contig_35505_2,Woesearchaeota,IIIb
rifcsphigho2_01_scaffold_37456_9,Woesearchaeota,IIIb
rifcsplowo2_01_scaffold_16673_1,Woesearchaeota,IIIb
rifcsplowo2_01_scaffold_5191_1,Woesearchaeota,IIIb
rifoxya1_full_scaffold_286_38,Woesearchaeota,IIIb
gwd2_scaffold_498_27,unknown,IIIb
cg1_0.2_scaffold_64959_1,Falkowbacteria,IIIc
AR10.1_scaffold_1790_3,Gottesmanbacteria,IIIc
UBA2393contig_52368_1,Gottesmanbacteria,IIIc
rifcsphigho2_01_scaffold_5271_63,Gottesmanbacteria,IIIc
rifcsplowo2_01_scaffold_7182_31,Gottesmanbacteria,IIIc
CG10_big_fil_rev_8_21_14_0.10_scaffold_1094_21,Kuenenbacteria,IIIc
img_2698597071_3,Microgenomates,IIIc
CG23_combo_of_CG0609_8_20_14_all_150_scaffold_8060_3,Parcubacteria,IIIc
bjp_ig2599_sub10_scaffold_364_11,Parcubacteria,IIIc
gwc2_scaffold_11863_3,Parcubacteria,IIIc
UBA1441contig_19953_11,Patescibacteria,IIIc
UBA6264contig_60200_23,Patescibacteria,IIIc
GWF1_WS6_37_7_1_127,Dojkabacteria,IIIlike
16ft_4_scaffold_46755_1,Gottesmanbacteria,IIIlike
rifcsphigho2_02_scaffold_255720_1,Gottesmanbacteria,IIIlike
rifcsphigho2_02_scaffold_287381_2,Gottesmanbacteria,IIIlike
rifoxyc3_full_scaffold_6738_7,Gottesmanbacteria,IIIlike
CG10_big_fil_rev_8_21_14_0.10_scaffold_9756_11,Pacearchaeota,IIIlike
GWB1_scaffold_11255_2,Pacearchaeota,IIIlike
rifcsphigho2_01_scaffold_113321_3,Pacearchaeota,IIIlike
rifcsphigho2_01_scaffold_14826_13,Pacearchaeota,IIIlike
rifcsphigho2_02_scaffold_332588_3,Pacearchaeota,IIIlike
rifcsplowo2_01_scaffold_107583_2,Pacearchaeota,IIIlike
rifcsplowo2_01_scaffold_97081_1,Pacearchaeota,IIIlike
rifoxya1_full_scaffold_39886_1,Pacearchaeota,IIIlike
rifoxyd1_full_scaffold_35748_2,Pacearchaeota,IIIlike
scaffold_31901_2_REF,reference,IIIlike
rifcsphigho2_12_scaffold_16902_10,Micrarchaeota,IV
14_1009_16_20cm_scaffold_137301_2,Parcubacteria,IV
rifcsphigho2_01_scaffold_24034_3,Parcubacteria,IV
rifcsplowo2_12_scaffold_29845_1,Parcubacteria,IV
rifoxyb1_full_scaffold_10500_4,Parcubacteria,IV
rifoxyc1_full_scaffold_13163_3,Parcubacteria,IV
AAU16474_Bacillus_cereus_E33L_IV_Ykr_REF,reference,IV
CAB13232_Bacillus_subtilis_subsp_subtilis_str_168_IV_Ykr_REF,reference,IV
CAE27610_Rhodopseudomonas_palustris_CGA009_IV_DeepYk_REF,reference,IV
YP_532057_Rhodopseudomonas_palustris_BisB18_IV_DeepYk_REF,reference,IV
CG_201501t_scaffold_2353_6_PHAGE,putative_phage,IVlike
imgVR_3300000116_DelMOSpr2010_c10002632_7_PHAGE,putative_phage,IVlike
imgVR_3300001346_JGI20151J14362_10002242_5_PHAGE,putative_phage,IVlike
imgVR_3300001472_JGI24004J15324_10000002_33_PHAGE,putative_phage,IVlike
