,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,variant,taxonomy,note,short_ref,pmid_or_doi,citation
284,Sorghum bicolor,bicolor_savir,0,0,Meta-analysis,30,0.3,5.4,0.12,70,1,,,,,,,,0.18,0.171,0.189,,,,,,25,,1,B,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
285,Zea mays,mays_savir,0,0,Meta-analysis,34,2.38,4.4,0.22,78,3,810,97.2,1.34,0.975,1.79,1.34,,0.129,0.11,0.154,0.00166,0.00138,0.00201,,,25,,1,B,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
286,Amaranthus edulis,edulis_savir,0,0,Meta-analysis,18.2,3.6,4.14,0.19,77.5,0.2,289,9,0.845,0.599,1.4,0.848,,0.227,0.161,0.376,0.00292,0.00208,0.00485,,,25,,1,B,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
287,Flaveria australasica,australasica_savir,0,0,Meta-analysis,22,4.7,3.84,0.03,77.2,0.3,309,17,0.699,0.482,1.21,0.699,,0.175,0.123,0.299,0.00226,0.0016,0.00387,,,25,,1,B,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
288,Amaranthus hybridus,hybridus_savir,0,0,Meta-analysis,16,1.12,3.8,0.3,82,4,640,76,1.85,1.32,2.52,1.85,,0.238,0.193,0.29,0.0029,0.00231,0.00363,,,25,,1,B,C4 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
289,Nicotiana tabacum,tabacum_savir,0,0,Meta-analysis,10.7,0.6,3.4,0.1,82,2,295,71,1.15,0.604,1.71,1.14,,0.318,0.281,0.362,0.00387,0.0034,0.00444,18.8,2.28,25,8.3,1,B,C3 plants,From Whitney PlantJ 2001,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
290,Phaeodactylum tricornutum,triconutum_savir,0,0,Meta-analysis,27.9,0.4,3.4,0.1,113,1,467,22,0.504,0.449,0.563,0.504,,0.122,0.114,0.13,0.00108,0.00101,0.00115,56,6.78,25,8.3,1,D,Diatoms,From Whitney PlantJ 2001,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
291,Spinacia oleracea,oleracea_savir,0,0,Meta-analysis,12.1,0.8,3.2,0.09,79.8,0.5,574,19,1.9,1.64,2.23,1.9,,0.265,0.232,0.306,0.00332,0.0029,0.00383,,,25,,1,B,C3 plants,d13C from tcherkez,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
292,Flaveria pringlei,pringlei_savir,0,0,Meta-analysis,12,2.1,3.11,0.2,80.8,1.2,666,28,2.13,1.51,3.35,2.14,,0.258,0.185,0.404,0.0032,0.00229,0.005,,,25,,1,B,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
293,Chenopodium alba,alba_savir,0,0,Meta-analysis,11.2,2.8,2.91,0.07,78.7,1,415,16,1.37,0.904,2.72,1.37,,0.26,0.174,0.514,0.00331,0.00221,0.00654,,,25,,1,B,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
294,Griffithsia monilis,monilis_savir,0,0,Meta-analysis,9.3,0.8,2.6,0.1,167,3,,,,,,,,0.279,0.235,0.342,,,,44,5.33,25,8.3,1,D,Red algae,"From Whitney PlantJ 2001, d13C from tcherkez",Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
295,Triticum aestivum,aestivum_savir,0,0,Meta-analysis,14,3,2.5,0.2,90,1,730,41,1.46,0.953,2.59,1.45,,0.18,0.12,0.318,0.002,0.00133,0.00353,,,25,,1,B,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
296,Galdieria sulfuraria,sulfuraria_savir,0,0,Meta-analysis,3.3,0.4,1.2,0.1,166,6,374,92,0.817,0.404,1.37,0.819,,0.364,0.276,0.496,0.00219,0.00164,0.00301,92,11.1,25,8.3,1,D,Red algae,From Whitney PlantJ 2001,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
297,Aphanizomenon flos aquae,flos_aquae_savir,0,0,Meta-analysis,105,7.3,,,48,2,990,118,,,,,,,,,,,,,,25,,1,B,Cyanobacteria,Genome contains ccmM,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
298,Coccochloris peniocystis,peniocystis_savir,0,0,Meta-analysis,121,8.5,,,47,2,1.22e+03,146,,,,,,,,,,,,,,25,,1,B,Cyanobacteria,Genome contains ccmM,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
299,Euglena gracilis,gracilis_savir,0,0,Meta-analysis,25,1.75,,,54,2,410,49,,,,,,,,,,,,,,25,,1,B,Green algae,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
300,Glycine max,max_savir,0,0,Meta-analysis,9,0.63,,,82,5,430,52,,,,,,,,,,,,,,25,,1,B,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
301,Lolium perenne,perenne_savir,0,0,Meta-analysis,16,1.12,,,80,1,500,60,,,,,,,,,,,,,,25,,1,B,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
302,Rhodobacter sphaeroides I,rhodopseudomonas_sphaeroides_FI_savir,0,0,Meta-analysis,36,3,,,62,4,840,100,,,,,,,,,,,,,,25,,1,C,Alphaproteobacteria,rhodobacter sphaeroides = rhodopseudomonas sphaeroides.,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
303,Scenedesmus obliquus,obliquus_savir,0,0,Meta-analysis,38,3,,,63,2,660,79,,,,,,,,,,,,,,25,,1,B,Green algae,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
304,Tetragonium expansa,expansa_savir,0,0,Meta-analysis,13,0.91,,,81,1,600,72,,,,,,,,,,,,,,25,,1,B,C3 plants,,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
305,Rhodobacter sphaeroides II,rhodopseudomonas_sphaeroides_FII_savir,0,0,Meta-analysis,80,5,,,9,1,220,26,,,,,,,,,,,,,,25,,2,,Alphaproteobacteria,rhodobacter sphaeroides = rhodopseudomonas sphaeroides.,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
307,Cenchrus ciliaris,ciliaris_sharwood,1,0,False,19,0.7,6,0.8,69.9,3,470,52,2.11,1.43,2.96,2.1,,0.316,0.231,0.404,0.00452,0.00327,0.00586,,,25,8.16,1,B,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
308,Setaria viridis,viridis_sharwood,1,0,False,18.1,0.6,5.9,0.5,72.7,0.2,619,86,2.76,1.91,3.72,2.8,,0.326,0.268,0.385,0.00448,0.00369,0.00529,,,25,8.16,1,B,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
309,Urochloa mosambicensis,mosambicensis_sharwood,1,0,False,14.8,0.4,5.7,0.7,82.5,1.3,464,79,2.15,1.33,3.14,2.2,,0.386,0.293,0.482,0.00467,0.00355,0.00585,,,25,8.16,1,B,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
310,Urochloa panicoides,panicoides_sharwood,1,0,False,15.4,0.7,5.6,0.6,78.3,0.3,444,80,2.04,1.25,2.98,2.1,,0.363,0.284,0.449,0.00463,0.00362,0.00574,,,25,8.16,1,B,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
311,Megathyrsus maximus,maximus_sharwood,1,0,False,13.9,0.8,5.3,0.5,80.3,2.8,265,34,1.25,0.871,1.72,1.3,,0.381,0.304,0.469,0.00474,0.00373,0.0059,,,25,8.16,1,B,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
312,Panicum monticola,monticola_sharwood,1,0,False,18.2,0.5,5.3,0.7,79.4,1.7,543,67,1.98,1.34,2.75,2,,0.292,0.214,0.368,0.00368,0.0027,0.00466,,,25,8.16,1,B,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
313,Panicum deustum,deustum_sharwood,1,0,False,15.4,0.2,5,0.5,84.8,0.2,306,16,1.17,0.921,1.44,1.2,,0.324,0.261,0.389,0.00382,0.00307,0.00458,,,25,8.16,1,B,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
314,Panicum antidotale,antidotale_sharwood,1,0,False,,,3.9,0.2,74.5,0.4,,,,,,,,,,,,,,,,25,8.16,1,B,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
315,Panicum coloratum,coloratum_sharwood,1,0,False,11.1,0.5,3.4,0.6,84.8,2.8,445,58,1.58,0.956,2.37,1.6,,0.305,0.2,0.417,0.0036,0.00235,0.00495,,,25,8.16,1,B,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
316,Panicum virgatum,virgatum_sharwood,1,0,False,12.7,0.1,3.3,0.9,82.6,2.8,271,12,0.854,0.398,1.33,0.9,,0.26,0.122,0.397,0.00315,0.00147,0.00484,,,25,8.16,1,B,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
317,Nicotiana tabacum,tabacum_sharwood,1,0,False,9.7,0.1,3.1,0.3,82.6,0.8,283,15,1.09,0.865,1.34,1.1,,0.32,0.259,0.38,0.00387,0.00313,0.00461,,,25,8.16,1,B,C3 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
318,Panicum bisulcatum,bisulcatum_sharwood,1,0,False,7.8,0.3,2.6,0.4,87.7,1.5,416,67,1.56,0.943,2.36,1.6,,0.333,0.231,0.439,0.00379,0.00263,0.00503,,,25,8.16,1,B,C3 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
319,Steinchisma laxa,laxa_sharwood,1,0,False,7.7,0.5,2.3,0.3,91.4,4.8,419,89,1.36,0.741,2.15,1.4,,0.299,0.218,0.39,0.00327,0.00237,0.00436,,,25,8.16,1,B,C3 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
320,Panicum milioides,milioides_sharwood,1,0,False,7.4,0.3,2.2,0.3,92.3,1,387,46,1.24,0.831,1.74,1.3,,0.298,0.216,0.383,0.00323,0.00233,0.00415,,,25,8.16,1,B,C3 plants,"C3/C4 intermediate. Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
321,Panicum milliaceum,milliaceum_sharwood,1,0,False,7.2,0.3,2.1,0.3,79.9,4.3,313,46,1.13,0.703,1.67,1.1,,0.291,0.208,0.379,0.00364,0.00256,0.00485,,,25,8.16,1,B,C4 plants,"Assuming pH reported there for 25 C. Uses 2 pKa model, not clear if correction should apply. ",Sharwood 2016,27892943,"Sharwood, R. E., Ghannoum, O., Kapralov, M. V., Gunn, L. H., and Whitney, S. M. (2016). Temperature responses of Rubisco from Paniceae grasses provide opportunities for improving C3 photosynthesis. Nat Plants 2, 16186."
327,Prochlorococcus marinus MIT9313,marinus_shih,1,0,E. coli,309,24,6.58,0.25,59.9,7,1.4e+03,300,0.498,0.268,0.794,0.78,0.49,0.0213,0.0181,0.0255,0.000357,0.000273,0.000485,,,25,8,1,A,Cyanobacteria,,Shih 2016,26790750,"Shih, Patrick M., Alessandro Occhialini, Jeffrey C. Cameron, P. John Andralojc, Martin A. J. Parry, and Cheryl A. Kerfeld. 2016. “Biochemical Characterization of Predicted Precambrian RuBisCO.” Nature Communications 7 (January). Nature Publishing Group:10382."
328,Synechococcus 6301,6301_shih,1,0,E. coli,152,23,9.78,0.48,50.3,2,1.23e+03,135,1.57,1.08,2.4,1.58,0.17,0.0643,0.0484,0.0928,0.00128,0.000954,0.00186,,,25,8,1,B,Cyanobacteria,,Shih 2016,26790750,"Shih, Patrick M., Alessandro Occhialini, Jeffrey C. Cameron, P. John Andralojc, Martin A. J. Parry, and Cheryl A. Kerfeld. 2016. “Biochemical Characterization of Predicted Precambrian RuBisCO.” Nature Communications 7 (January). Nature Publishing Group:10382."
342,Chlamydomonas reinhardtii,chlammy_uemura96,1,0,False,,,,,70.5,2.2,,,,,,,,,,,,,,,,25,8.3,1,B,Green algae,methods paper on measuring S,Uemura 1996,9144578,"Uemura, K., et al. “Ribulose-1,5-Bisphosphate Carboxylase/oxygenase from Thermophilic Red Algae with a Strong Specificity for CO2 Fixation.” Biochemical and Biophysical Research Communications, vol. 233, no. 2, Apr. 1997, pp. 568–71, https://www.ncbi.nlm.nih.gov/pubmed/9144578."
343,Chromatium vinosum,vinosum_peg_uemura96,1,0,E. coli,,,,,44.4,0.9,,,,,,,,,,,,,,,,25,8.3,1,A,Gammaproteobacteria,methods paper on measuring S,Uemura 1996,9144578,"Uemura, K., et al. “Ribulose-1,5-Bisphosphate Carboxylase/oxygenase from Thermophilic Red Algae with a Strong Specificity for CO2 Fixation.” Biochemical and Biophysical Research Communications, vol. 233, no. 2, Apr. 1997, pp. 568–71, https://www.ncbi.nlm.nih.gov/pubmed/9144578."
344,Zea mays,maize_uemura96,1,0,False,,,,,96.4,1.7,,,,,,,,,,,,,,,,25,8.3,1,B,C4 plants,methods paper on measuring S,Uemura 1996,9144578,"Uemura, K., et al. “Ribulose-1,5-Bisphosphate Carboxylase/oxygenase from Thermophilic Red Algae with a Strong Specificity for CO2 Fixation.” Biochemical and Biophysical Research Communications, vol. 233, no. 2, Apr. 1997, pp. 568–71, https://www.ncbi.nlm.nih.gov/pubmed/9144578."
345,Nicotiana tabacum,tobacco_uemura96,1,0,False,,,,,93.1,3,,,,,,,,,,,,,,,,25,8.3,1,B,C3 plants,methods paper on measuring S,Uemura 1996,9144578,"Uemura, K., et al. “Ribulose-1,5-Bisphosphate Carboxylase/oxygenase from Thermophilic Red Algae with a Strong Specificity for CO2 Fixation.” Biochemical and Biophysical Research Communications, vol. 233, no. 2, Apr. 1997, pp. 568–71, https://www.ncbi.nlm.nih.gov/pubmed/9144578."
346,Nicotiana tabacum,tobacco_peg_uemura96,1,0,False,,,,,91.2,0.6,,,,,,,,,,,,,,,,25,8.3,1,B,C3 plants,methods paper on measuring S,Uemura 1996,9144578,"Uemura, K., et al. “Ribulose-1,5-Bisphosphate Carboxylase/oxygenase from Thermophilic Red Algae with a Strong Specificity for CO2 Fixation.” Biochemical and Biophysical Research Communications, vol. 233, no. 2, Apr. 1997, pp. 568–71, https://www.ncbi.nlm.nih.gov/pubmed/9144578."
347,Pisum sativum,pea_uemura96,1,0,False,,,,,90.2,1.7,,,,,,,,,,,,,,,,25,8.3,1,B,C3 plants,methods paper on measuring S,Uemura 1996,9144578,"Uemura, K., et al. “Ribulose-1,5-Bisphosphate Carboxylase/oxygenase from Thermophilic Red Algae with a Strong Specificity for CO2 Fixation.” Biochemical and Biophysical Research Communications, vol. 233, no. 2, Apr. 1997, pp. 568–71, https://www.ncbi.nlm.nih.gov/pubmed/9144578."
348,Porphyra yezoensis,porphyra_peg_uemura96,1,0,False,,,,,145,2.4,,,,,,,,,,,,,,,,25,8.3,1,D,Red algae,methods paper on measuring S,Uemura 1996,9144578,"Uemura, K., et al. “Ribulose-1,5-Bisphosphate Carboxylase/oxygenase from Thermophilic Red Algae with a Strong Specificity for CO2 Fixation.” Biochemical and Biophysical Research Communications, vol. 233, no. 2, Apr. 1997, pp. 568–71, https://www.ncbi.nlm.nih.gov/pubmed/9144578."
349,Spinacia oleracea,spinach_uemura96,1,0,False,,,,,93.8,0.8,,,,,,,,,,,,,,,,25,8.3,1,B,C3 plants,methods paper on measuring S,Uemura 1996,9144578,"Uemura, K., et al. “Ribulose-1,5-Bisphosphate Carboxylase/oxygenase from Thermophilic Red Algae with a Strong Specificity for CO2 Fixation.” Biochemical and Biophysical Research Communications, vol. 233, no. 2, Apr. 1997, pp. 568–71, https://www.ncbi.nlm.nih.gov/pubmed/9144578."
350,Spinacia oleracea,spinach_peg_uemura96,1,0,False,,,,,93.1,3.5,,,,,,,,,,,,,,,,25,8.3,1,B,C3 plants,methods paper on measuring S,Uemura 1996,9144578,"Uemura, K., et al. “Ribulose-1,5-Bisphosphate Carboxylase/oxygenase from Thermophilic Red Algae with a Strong Specificity for CO2 Fixation.” Biochemical and Biophysical Research Communications, vol. 233, no. 2, Apr. 1997, pp. 568–71, https://www.ncbi.nlm.nih.gov/pubmed/9144578."
351,Synechococcus elongatus PCC 7942,pcc7942_uemura96,1,0,E. coli,,,,,45.2,0.7,,,,,,,,,,,,,,,,25,8.3,1,B,Cyanobacteria,methods paper on measuring S,Uemura 1996,9144578,"Uemura, K., et al. “Ribulose-1,5-Bisphosphate Carboxylase/oxygenase from Thermophilic Red Algae with a Strong Specificity for CO2 Fixation.” Biochemical and Biophysical Research Communications, vol. 233, no. 2, Apr. 1997, pp. 568–71, https://www.ncbi.nlm.nih.gov/pubmed/9144578."
352,Ulva pertusa,ulva_uemura96,1,0,False,,,,,68.5,0.9,,,,,,,,,,,,,,,,25,8.3,1,B,Green algae,methods paper on measuring S,Uemura 1996,9144578,"Uemura, K., et al. “Ribulose-1,5-Bisphosphate Carboxylase/oxygenase from Thermophilic Red Algae with a Strong Specificity for CO2 Fixation.” Biochemical and Biophysical Research Communications, vol. 233, no. 2, Apr. 1997, pp. 568–71, https://www.ncbi.nlm.nih.gov/pubmed/9144578."
353,Allochromatium vinosum,vinosum_uemura,1,0,False,28.4,2.59,8.8,0.523,44.4,0.9,,,,,,,,0.31,0.251,0.389,,,,,,25,8,1,A,Gammaproteobacteria,,Uemura 1997,https://doi.org/10.1093/oxfordjournals.pcp.a028949,"Uemura K, Anwaruzzaman Miyachi S, Yokota A. 1997. Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilicred algae with a strong specificity for CO2 fixation. Biochemical and Biophysical Research Communications 233, 568–571."
354,Spinacia oleracea,oleracea_uemura,1,0,False,14.3,1.31,2.6,0.155,93.8,0.8,,,,,,,,0.182,0.148,0.228,,,,,,25,8,1,B,C3 plants,,Uemura 1997,https://doi.org/10.1093/oxfordjournals.pcp.a028949,"Uemura K, Anwaruzzaman Miyachi S, Yokota A. 1997. Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilicred algae with a strong specificity for CO2 fixation. Biochemical and Biophysical Research Communications 233, 568–571."
355,Galdieria partita Tokara,partita_tokara_uemura,1,0,False,6.6,0.602,1.6,0.0951,238,8.8,,,,,,,,0.242,0.197,0.305,,,,,,25,8,1,D,Red algae,,Uemura 1997,https://doi.org/10.1093/oxfordjournals.pcp.a028949,"Uemura K, Anwaruzzaman Miyachi S, Yokota A. 1997. Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilicred algae with a strong specificity for CO2 fixation. Biochemical and Biophysical Research Communications 233, 568–571."
356,Porphyridium purpureum,porphyridium_uemura,1,0,False,22,2.01,1.4,0.0832,144,5.8,,,,,,,,0.0637,0.0517,0.0797,,,,,,25,8,1,D,Red algae,KC and kcatC from Read and Tabita 1994,Uemura 1997,https://doi.org/10.1093/oxfordjournals.pcp.a028949,"Uemura K, Anwaruzzaman Miyachi S, Yokota A. 1997. Ribulose-1,5-bisphosphate carboxylase/oxygenase from thermophilicred algae with a strong specificity for CO2 fixation. Biochemical and Biophysical Research Communications 233, 568–571."
